rank | std | mean f1 | no. trees | depth
4 | 0.00844429 | 0.63536633 | 151 | 8
9 | - | 0.63474418 | 161 | 8
16 | - | 0.63305712 | 171 | 8
17 | - | 0.63289097 | 181 | 8
11 | - | 0.63431528 | 191 | 8
8 | 0.00748828 | 0.63506402 | 201 | 8
1 | 0.00728742 | 0.63692442 | 211 | 8
5 | 0.00776818 | 0.63528305 | 221 | 8
14 | 0.0092146 | 0.63326739 | 231 | 8
10 | 0.00766992 | 0.63463179 | 241 | 8
6 | 0.00796328 | 0.63526278 | 251 | 8
2 | 0.00862334 | 0.63633424 | 261 | 8
3 | 0.00687479 | 0.63612224 | 271 | 8
15 | 0.00788472 | 0.63325419 | 281 | 8
7 | 0.00837905 | 0.63522733 | 291 | 8
