rank & score & no.trees & depth
1 & 0.77298779 & 300 & None
2 & 0.76982445 & 200 & None
3 & 0.76278597 & 300 & 15
4 & 0.75822076 & 200 & 15
5 & 0.75465996 & 100 & None
7 & 0.73986411 & 50 & None
16 & 0.65773377 & 50 & 5
15 & 0.66086652 & 100 & 5
14 & 0.66233918 & 200 & 5
13 & 0.66328347 & 300 & 5
12 & 0.71138926 & 50 & 10
11 & 0.72022292 & 100 & 10
10 & 0.72437497 & 200 & 10
9 & 0.72794982 & 300 & 10
8 & 0.72983155 & 50 & 15
6 & 0.74955459 & 100 & 15





















































