rank & std & score & no.trees & depth
1 & 0.0053113 & 0.69531954 & 300 & None
2 & 0.00294945 & 0.68866113 & 200 & None
3 & 0.0064015 & 0.68589634 & 200 & 15
4 & 0.00620778 & 0.68538061 & 300 & 15
5 & 0.0063237 & 0.68103973 & 100 & None
6 & 0.00709624 & 0.67037921 & 100 & 15
7 & 0.00913227 & 0.66265993 & 50 & None
15 & 0.01024403 & 0.61083721 & 50 & 5
13 & 0.00682659 & 0.61178669 & 100 & 5
16 & 0.01201223 & 0.61028258 & 200 & 5
14 & 0.01071138 & 0.61146382 & 300 & 5
12 & 0.00491577 & 0.64328205 & 50 & 10
10 & 0.00877578 & 0.65409217 & 100 & 10
11 & 0.00913124 & 0.653498 & 200 & 10
9 & 0.01034911 & 0.65608579 & 300 & 10
8 & 0.00696804 & 0.6618165 & 50 & 15








































































